kode_wilayah,nama_wilayah,tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
96747,Halim Perdana Kusuma Jakarta,3/19/2017,24.0,33.8,27.1,81.0,8888.0,,6.0,210.0,3.0,W 
96747,Halim Perdana Kusuma Jakarta,3/20/2017,25.0,30.8,27.4,81.0,10.6,,6.0,250.0,2.0,W 
96747,Halim Perdana Kusuma Jakarta,3/21/2017,23.8,31.0,27.5,82.0,26.0,,5.0,300.0,2.0,NW
96747,Halim Perdana Kusuma Jakarta,3/22/2017,24.0,31.2,26.7,85.0,38.6,,5.0,240.0,2.0,NW
96747,Halim Perdana Kusuma Jakarta,3/23/2017,23.2,28.8,25.0,89.0,7.6,,2.0,10.0,1.0,NW
96747,Halim Perdana Kusuma Jakarta,3/24/2017,23.0,33.2,28.1,80.0,,,4.0,350.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,3/25/2017,24.2,32.2,27.5,84.0,3.6,,4.0,210.0,1.0,NW
96747,Halim Perdana Kusuma Jakarta,3/26/2017,25.4,32.2,27.6,87.0,21.6,,3.0,320.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,3/27/2017,23.8,33.2,26.5,84.0,6.4,,5.0,240.0,1.0,SE
96747,Halim Perdana Kusuma Jakarta,3/28/2017,24.2,34.2,27.0,82.0,42.2,,5.0,360.0,1.0,W 
96747,Halim Perdana Kusuma Jakarta,3/29/2017,23.0,,27.9,79.0,8888.0,,4.0,200.0,2.0,S 
96747,Halim Perdana Kusuma Jakarta,3/30/2017,22.0,32.4,28.4,71.0,,,5.0,280.0,3.0,W 
96747,Halim Perdana Kusuma Jakarta,3/31/2017,23.4,30.6,26.7,82.0,,,5.0,240.0,2.0,W 
96747,Halim Perdana Kusuma Jakarta,4/1/2017,24.4,,26.7,84.0,29.3,,7.0,140.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,4/2/2017,22.8,33.0,26.8,87.0,42.0,,3.0,310.0,2.0,W 
96747,Halim Perdana Kusuma Jakarta,4/3/2017,23.8,32.6,27.2,82.0,6.6,,4.0,20.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,4/4/2017,24.0,33.2,26.7,86.0,11.3,,6.0,360.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,4/5/2017,24.2,32.4,27.7,78.0,,,7.0,250.0,4.0,W 
96747,Halim Perdana Kusuma Jakarta,4/6/2017,24.8,32.8,28.1,76.0,22.6,,8.0,260.0,5.0,W 
96747,Halim Perdana Kusuma Jakarta,4/7/2017,25.0,32.2,27.8,76.0,41.8,,6.0,250.0,4.0,W 
96747,Halim Perdana Kusuma Jakarta,4/8/2017,24.6,,26.9,78.0,8888.0,,8.0,240.0,,
96747,Halim Perdana Kusuma Jakarta,4/9/2017,24.4,34.4,28.6,72.0,2.4,,6.0,270.0,3.0,W 
96747,Halim Perdana Kusuma Jakarta,4/10/2017,25.0,34.8,28.0,80.0,8888.0,,9.0,180.0,2.0,W 
96747,Halim Perdana Kusuma Jakarta,4/11/2017,23.8,32.4,24.4,89.0,,,5.0,270.0,2.0,S 
96747,Halim Perdana Kusuma Jakarta,4/12/2017,23.8,32.4,28.0,76.0,,,4.0,20.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,4/13/2017,25.0,32.4,27.9,83.0,,,5.0,30.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,4/14/2017,25.0,32.0,27.8,80.0,8888.0,,5.0,30.0,2.0,NE
96747,Halim Perdana Kusuma Jakarta,4/15/2017,24.8,32.4,27.5,82.0,,,4.0,360.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,4/16/2017,24.0,32.4,27.7,80.0,,,4.0,360.0,1.0,N 
96747,Halim Perdana Kusuma Jakarta,4/17/2017,24.8,33.6,28.3,78.0,4.8,,5.0,360.0,2.0,N 
